method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
DBSCAN,4,0.13406547874065233,172.7525527392428,1.1057256538765532,0.012877225875854492,ATTACKS_DMG,weighted_jaccard,-1.1057256538765532,0.45588667855083764,0.09324848950417665,0.7947018256513606,1.343836993706375
BIRCH,10,0.22180070411560637,131.39790537524524,1.4080935697058807,0.07428455352783203,ATTACKS_DMG + KEYWORDS,weighted_jaccard,-1.4080935697058807,0.5462566077359565,0.0704489421023744,0.7232027670235346,1.3399083168618655
BIRCH,10,0.22180070411560637,131.39790537524524,1.4080935697058807,0.10173296928405762,ATTACKS_DMG + KEYWORDS,jaccard,-1.4080935697058807,0.5462566077359565,0.0704489421023744,0.7232027670235346,1.3399083168618655
Agglomerative,10,0.23486675400868184,134.46761272127873,1.4763798584323813,0.022369861602783203,ATTACKS_DMG + KEYWORDS,jaccard,-1.4763798584323813,0.5597150333400416,0.0721413259723063,0.7070555334529973,1.3389118927653452
Agglomerative,10,0.23486675400868184,134.46761272127873,1.4763798584323813,0.02025771141052246,ATTACKS_DMG + KEYWORDS,weighted_jaccard,-1.4763798584323813,0.5597150333400416,0.0721413259723063,0.7070555334529973,1.3389118927653452
Agglomerative,9,0.22525929191001842,129.7070603962843,1.4587569680671062,0.029522180557250977,RESISTANCE + KEYWORDS,jaccard,-1.4587569680671062,0.5498190575128367,0.06951674940568416,0.7112227086242208,1.3305585155427417
Agglomerative,9,0.22525929191001842,129.7070603962843,1.4587569680671062,0.052854061126708984,RESISTANCE + KEYWORDS,weighted_jaccard,-1.4587569680671062,0.5498190575128367,0.06951674940568416,0.7112227086242208,1.3305585155427417
K-Means,10,0.23008954361814785,140.16851594644976,1.5056604918120673,0.021808624267578125,KEYWORDS,jaccard,-1.5056604918120673,0.5547943625051523,0.07528433459649615,0.700131724367857,1.3302104214695056
K-Means,10,0.23008954361814785,140.16851594644976,1.5056604918120673,0.021237611770629883,KEYWORDS,weighted_jaccard,-1.5056604918120673,0.5547943625051523,0.07528433459649615,0.700131724367857,1.3302104214695056
BIRCH,9,0.22018837668071717,125.16791507600469,1.4465547140908117,0.10116076469421387,RESISTANCE + KEYWORDS,weighted_jaccard,-1.4465547140908117,0.5445958618326838,0.06701423843073916,0.7141080996553748,1.3257181999187977
BIRCH,9,0.22018837668071717,125.16791507600469,1.4465547140908117,0.0731966495513916,RESISTANCE + KEYWORDS,jaccard,-1.4465547140908117,0.5445958618326838,0.06701423843073916,0.7141080996553748,1.3257181999187977
BIRCH,10,0.23933445892079652,129.5399978775746,1.566764038841604,0.10252070426940918,SUPERTYPES + KEYWORDS,weighted_jaccard,-1.566764038841604,0.5643169041941065,0.0694246448888481,0.6856829490093663,1.3194244980923209
BIRCH,10,0.23933445892079652,129.5399978775746,1.566764038841604,0.0691535472869873,SUPERTYPES + KEYWORDS,jaccard,-1.566764038841604,0.5643169041941065,0.0694246448888481,0.6856829490093663,1.3194244980923209
Agglomerative,10,0.22836154383100843,118.65128070099125,1.4975795494146982,0.0200808048248291,ATTACKS_COSTS + KEYWORDS,jaccard,-1.4975795494146982,0.5530144705891253,0.06342150281808635,0.7020425745076704,1.3184785479148822
Agglomerative,10,0.22836154383100843,118.65128070099125,1.4975795494146982,0.02152872085571289,ATTACKS_COSTS + KEYWORDS,weighted_jaccard,-1.4975795494146982,0.5530144705891253,0.06342150281808635,0.7020425745076704,1.3184785479148822
K-Means,10,0.23159758441661848,121.91107798169816,1.5512460466922147,0.01889324188232422,ATTACKS_COSTS + KEYWORDS,weighted_jaccard,-1.5512460466922147,0.5563476900264944,0.065218686625932,0.6893523920037798,1.3109187686562063
