method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
Agglomerative,2,0.2652554424531725,170.3474367565565,1.2787016686163972,0.01862621307373047,RESISTANCE + PKMN_TYPES,coseno,-1.2787016686163972,0.5892950532068475,0.09200963434926879,0.560102002725842,0.4138022300939861
BIRCH,3,0.2597470154144211,310.3994898803655,1.4245106670697094,0.03744912147521973,ATTACKS_DMG + SUPERTYPES,coseno,-1.4245106670697094,0.5836377313861173,0.1692153961013263,0.49864044548431363,0.41716452432391904
Agglomerative,3,0.2544108931769472,169.67745131825265,1.356613757434279,0.018503904342651367,RESISTANCE + WEAKNESS,coseno,-1.356613757434279,0.5781573718279762,0.09164029498598715,0.5272604198504163,0.3990193622214599
K-Means,3,0.24989395003635725,294.4536814676705,1.4864660720648537,0.015008926391601562,ATTACKS_COSTS + SUPERTYPES,coseno,-1.4864660720648537,0.5735183340750047,0.16042503381962409,0.47252494019366864,0.40215610269609914
Agglomerative,6,0.24679184291108572,156.3170323635385,1.442001888507229,0.018039226531982422,SUPERTYPES + WEAKNESS,coseno,-1.442001888507229,0.5703323758683188,0.08427516680886955,0.49126752804430684,0.381958356907165
BIRCH,3,0.24405141359893265,260.3945911573851,1.4286945975996599,0.04310417175292969,ATTACKS_COSTS + SUPERTYPES,coseno,-1.4286945975996599,0.5675178717573002,0.14164945750113114,0.4968768308344026,0.4020147200309447
BIRCH,5,0.23199541788145184,115.2067527008179,1.2003947876863748,0.08306121826171875,WEAKNESS,coseno,-1.2003947876863748,0.5551359981002075,0.06161251826922536,0.5931099987736798,0.4032861717143709
Agglomerative,3,0.22431025125120993,140.1775125165953,0.89666607005866,0.017901182174682617,ATTACKS_DMG + PKMN_TYPES,coseno,-0.89666607005866,0.5472430986268454,0.07537801823944336,0.7211380365655251,0.44791971781060463
BIRCH,6,0.22254321976958483,135.5012929687863,1.430073116087888,0.029456138610839844,SUPERTYPES + WEAKNESS,coseno,-1.430073116087888,0.54542830364298,0.07280018318272129,0.49629575631999345,0.3715080810485649
K-Means,6,0.22208353601999306,173.1060543183017,1.4404901615030437,0.019603252410888672,SUPERTYPES + WEAKNESS,coseno,-1.4404901615030437,0.5449561944748081,0.09353036300327046,0.49190475274776746,0.37679710340861533
K-Means,5,0.2205099617165619,135.5066292466014,1.72904960763554,0.0182955265045166,ATTACKS_COSTS + PKMN_TYPES,coseno,-1.72904960763554,0.5433400858868728,0.07280312488464172,0.37027088169600963,0.3288046974891747
Agglomerative,5,0.2137252954675846,126.77455707507254,1.7701504174790212,0.015718936920166016,ATTACKS_COSTS + PKMN_TYPES,coseno,-1.7701504174790212,0.536372027646891,0.0679894411960431,0.3529460265521953,0.3191024984650431
K-Means,3,0.20711953501423574,175.5821326535415,1.6960140443224823,0.020488739013671875,RESISTANCE + WEAKNESS,coseno,-1.6960140443224823,0.529587711091122,0.09489533773777835,0.38419606592407196,0.3362263715843241
K-Means,2,0.20608984207493086,219.550370889471,1.7456318833481574,0.014081716537475586,KEYWORDS,coseno,-1.7456318833481574,0.528530185177971,0.11913347813047918,0.3632811039818984,0.33698158909678283
BIRCH,5,0.20499909409038913,115.23214187675336,1.7794220855403218,0.041249752044677734,ATTACKS_COSTS + PKMN_TYPES,coseno,-1.7794220855403218,0.5274099538795523,0.06162651442725826,0.34903782360643165,0.3126914306377474
Agglomerative,2,0.20358583631515234,207.71962613841288,1.6464007828748446,0.018901824951171875,KEYWORDS,coseno,-1.6464007828748446,0.5259584952337506,0.11261160543938674,0.40510909832089814,0.34789306633134515
BIRCH,2,0.19511138749512538,161.73758529156407,1.6734049995926688,0.0723268985748291,KEYWORDS,coseno,-1.6734049995926688,0.5172549789865669,0.08726332662938714,0.3937262534404663,0.33274818635214015
K-Means,2,0.19489561739259914,202.7966172137633,1.767959124790088,0.04470109939575195,RESISTANCE + KEYWORDS,coseno,-1.767959124790088,0.517033376539862,0.1098977240955428,0.35386970247386296,0.3269336010364226
K-Means,4,0.19157738267125024,156.30928610492234,1.7546772251133052,0.03201150894165039,ATTACKS_COSTS + WEAKNESS,coseno,-1.7546772251133052,0.5136254487297395,0.08427089656945608,0.3594683023265478,0.3191215492085811
